time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.28,1.4,1.3372741,0.04748715,-0.02717498,65.45694,1.0,1.0
0.28,1.6,1.5008981,0.034260623,-0.12695003,60.150917,1.0,1.0
0.28,1.8,1.7557992,0.021228883,0.043242477,244.81195,1.0,1.0
0.28,2.0,1.9699838,-0.0021055634,-0.037508562,137.47626,1.0,1.0
0.28,2.2,2.2980444,0.03489136,-0.17273684,128.47699,1.0,0.6875
0.28,2.4,2.3847613,0.025207486,0.15320322,292.42877,1.0,0.9375
0.28,2.6,2.632785,0.06542686,0.19832388,287.29538,1.0,0.4375
0.28,2.8,2.8195972,-0.0024988092,0.38611233,413.81952,1.0,0.0
0.28,3.0,2.8578668,0.028988298,0.16711909,219.63843,1.0,0.75
0.3,0.0,0.021499295,0.01408758,-0.04823231,6.5780745,1.0,1.0
0.3,0.2,0.19443685,0.011191968,0.0035426188,3.9830403,1.0,1.0
0.3,0.4,0.4154577,0.032155134,-0.0018415028,15.036404,1.0,1.0
0.3,0.6,0.58431584,0.008145109,-0.040600426,19.144985,1.0,1.0
0.3,0.8,0.7831798,0.041851208,-0.0068087624,21.261436,1.0,1.0
0.3,1.0,0.9876865,0.08728485,-0.055421587,33.999664,1.0,1.0
0.3,1.2,1.2575003,0.07099633,-0.023683663,83.43649,1.0,1.0
0.3,1.4,1.3675873,0.049670465,0.0046154754,78.31706,1.0,1.0
0.3,1.6,1.5001686,0.03340114,-0.07905173,65.57326,1.0,1.0
0.3,1.8,1.7302532,0.02129522,0.062402625,139.74713,1.0,1.0
0.3,2.0,1.9791106,0.00196455,-0.10556437,130.56863,1.0,1.0
0.3,2.2,2.2874074,0.031531535,-0.13402353,288.64062,1.0,1.0
0.3,2.4,2.4322195,0.013162338,0.083638094,237.47598,1.0,1.0
0.3,2.6,2.6832907,0.05916838,0.08014217,257.4935,1.0,1.0
0.3,2.8,2.7617788,0.028719775,0.10554223,836.5973,1.0,0.9375
0.3,3.0,2.9083452,0.052650787,0.07987739,254.32607,1.0,1.0
0.32,0.0,0.019677728,0.008151887,-0.062433645,3.9789479,1.0,1.0
0.32,0.2,0.19806556,0.018877188,0.0011561168,5.8523445,1.0,1.0
0.32,0.4,0.39874977,0.022983741,-0.06394414,9.535074,1.0,1.0
0.32,0.6,0.60470474,3.7788413e-06,-0.047551155,19.189947,1.0,1.0
0.32,0.8,0.7723886,0.04472159,0.0013600651,22.28727,1.0,1.0
0.32,1.0,0.9652298,0.078214444,-0.10308783,36.922523,1.0,1.0
0.32,1.2,1.2127053,0.06459856,0.050369367,80.044586,1.0,1.0
0.32,1.4,1.4139699,0.048215453,0.065090224,80.08408,1.0,1.0
0.32,1.6,1.520608,0.038587973,-0.034935385,83.9595,1.0,1.0
0.32,1.8,1.7358084,0.019376345,0.014937021,101.62368,1.0,1.0
0.32,2.0,2.0094576,0.015368745,-0.0951679,134.24678,1.0,1.0
0.32,2.2,2.2175932,0.014673001,-0.038279448,537.2832,1.0,1.0
0.32,2.4,2.4753294,0.012794665,0.021855446,201.41075,1.0,1.0
0.32,2.6,2.7113426,0.05756918,0.082536876,182.48917,1.0,1.0
0.32,2.8,2.6928215,-0.002016507,0.0504828,631.95795,1.0,1.0
0.32,3.0,2.9476404,0.07384979,-0.03570947,248.14163,1.0,1.0
0.34,0.0,0.019460022,0.0036931217,-0.0678004,6.2303753,1.0,1.0
0.34,0.2,0.20746852,0.026917692,0.005689906,9.454945,1.0,1.0
0.34,0.4,0.3870417,0.013446158,-0.08105772,8.486179,1.0,1.0
0.34,0.6,0.63303745,-0.0046374323,-0.092798404,17.550976,1.0,1.0
0.34,0.8,0.77085435,0.04957658,0.0047361497,18.501938,1.0,1.0
0.34,1.0,0.9590414,0.07193303,-0.09978305,28.78622,1.0,1.0
0.34,1.2,1.1756816,0.06655426,0.052211046,74.14217,1.0,1.0
0.34,1.4,1.4608161,0.04741788,0.12692592,121.418785,1.0,1.0
0.34,1.6,1.5570631,0.048876688,-0.04178192,93.25987,1.0,1.0
0.34,1.8,1.7636378,0.018456813,-0.044999585,116.36409,1.0,1.0
0.34,2.0,2.0471158,0.03399722,-0.056987185,139.79688,1.0,1.0
0.34,2.2,2.1699185,0.018654775,0.06071567,357.9366,1.0,1.0
0.34,2.4,2.5024598,0.0069829077,0.0995274,163.23776,1.0,1.0
0.34,2.6,2.7336845,0.043509927,0.26778984,112.33589,1.0,0.0
0.34,2.8,2.7030563,-0.021707818,0.0001212121,313.75275,1.0,1.0
0.34,3.0,2.974156,0.08383413,-0.18003026,149.6901,1.0,0.75
0.36,0.0,0.021510612,-0.0013494681,-0.070627674,7.5957766,1.0,1.0
0.36,0.2,0.21752414,0.031042267,0.012424973,10.700767,1.0,1.0
0.36,0.4,0.37972304,0.0071852715,-0.069282755,12.725638,1.0,1.0
0.36,0.6,0.6528952,-0.0031509697,-0.16678041,21.708267,1.0,1.0
