time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.16,4.0,0.0068081263,0.030062342,0.020489007,8.962072,1.0,0.0
0.16,4.2,-0.0028317817,-0.005845827,0.021170776,4.737289,1.0,0.0
0.16,4.4,-0.0015978168,-0.008051418,0.019738426,3.302444,1.0,0.0
0.16,4.6,-0.0022675933,-0.0021232525,0.018495986,4.3599815,1.0,0.0
0.16,4.8,-0.0022789014,-0.0053101787,0.013237515,7.185176,1.0,0.0
0.16,5.0,-0.0047754804,-0.0035017573,0.045787297,8.636315,1.0,0.0
0.18,0.0,-0.024094395,-0.0067393174,-0.0907518,12.555059,1.0,1.0
0.18,0.2,0.17373168,-0.015043868,0.19246513,11.260059,1.0,1.0
0.18,0.4,0.37412032,-0.019567758,0.083251804,10.290275,1.0,1.0
0.18,0.6,0.58950245,-0.01857476,0.054567143,12.827048,1.0,1.0
0.18,0.8,0.8200319,-0.013015559,0.043463662,29.534557,1.0,1.0
0.18,1.0,1.0629311,-0.0082366895,-0.022133447,62.232616,1.0,1.0
0.18,1.2,1.2581893,0.0065751206,-0.042726308,51.78282,1.0,1.0
0.18,1.4,1.4460607,0.0016938485,-0.05986825,92.92264,1.0,1.0
0.18,1.6,1.6548235,-0.011603704,-0.122652106,136.9956,1.0,1.0
0.18,1.8,1.8448452,-0.06450999,-0.15636021,303.0631,1.0,1.0
0.18,2.0,1.9837663,-0.060395855,-0.16372389,233.16397,1.0,1.0
0.18,2.2,2.1579843,-0.07200856,-0.1137436,156.70224,1.0,1.0
0.18,2.4,2.3743877,-0.07794213,-0.0065785507,89.070816,1.0,1.0
0.18,2.6,2.4936166,-0.051369786,0.08154179,402.88684,1.0,1.0
0.18,2.8,2.6972344,-0.07510874,-0.22369456,605.0218,1.0,0.0625
0.18,3.0,2.877872,-0.0841674,-0.23902342,224.02533,1.0,0.125
0.18,3.2,3.0761788,-0.10112034,0.20455112,258.69208,1.0,0.5
0.18,3.4,3.208836,-0.096417874,0.27032107,229.54338,1.0,0.0
0.18,3.6,3.2974527,-0.11303142,0.38601768,270.17667,1.0,0.0
0.18,3.8,3.372935,-0.11001687,0.4751451,326.85208,1.0,0.0
0.18,4.0,0.0061153825,0.033282146,0.026565377,9.4923725,1.0,0.0
0.18,4.2,-0.004108522,-0.0058266805,0.019012626,4.65522,1.0,0.0
0.18,4.4,-0.0018943412,-0.008064138,0.02102093,3.9714699,1.0,0.0
0.18,4.6,-0.0017103073,-0.0019356188,0.018167527,4.2142587,1.0,0.0
0.18,4.8,-0.0020947244,-0.0054475656,0.012677216,7.294883,1.0,0.0
0.18,5.0,-0.0050186766,-0.003374853,0.0495776,9.267839,1.0,0.0
0.2,0.0,-0.019306436,-0.010984644,-0.10398977,9.875906,1.0,1.0
0.2,0.2,0.17969134,-0.014855493,0.21759401,9.095581,1.0,0.0
0.2,0.4,0.36809197,-0.018679447,0.11376104,8.729986,1.0,1.0
0.2,0.6,0.5788299,-0.017570782,0.04559075,16.349667,1.0,1.0
0.2,0.8,0.80519414,-0.009722725,0.04177262,36.900337,1.0,1.0
0.2,1.0,1.0416933,-0.0134311,-0.04450822,70.74853,1.0,1.0
0.2,1.2,1.2634072,-0.02197243,-0.036484156,110.05376,1.0,1.0
0.2,1.4,1.4717908,-0.032318935,-0.08624005,99.72603,1.0,1.0
